2022-12-05 15:12:14.830567               disk0       cpu    load average
2022-12-05 15:12:14.831410     KB/t  tps  MB/s  us sy id   1m   5m   15m
2022-12-05 15:12:14.831426    17.27   61  1.03   7  4 89  1.38 3.02 3.53
2022-12-05 15:12:15.751308    11.86  173  2.01   5  4 91  1.38 3.02 3.53
2022-12-05 15:12:16.753999     5.11  158  0.79   5  4 90  1.67 3.06 3.54
2022-12-05 15:12:17.759595     0.00    0  0.00   2  1 96  1.67 3.06 3.54
2022-12-05 15:12:18.762884    12.96   46  0.58   4  5 91  1.67 3.06 3.54
2022-12-05 15:12:19.766128    10.49  145  1.49   7  6 88  1.67 3.06 3.54
2022-12-05 15:12:20.767575    11.33   42  0.46   4  2 94  1.67 3.06 3.54
2022-12-05 15:12:21.771751    18.00    4  0.07   3  2 95  1.62 3.02 3.52
2022-12-05 15:12:22.777476     4.00   11  0.04   4  3 94  1.62 3.02 3.52
2022-12-05 15:12:23.781004     5.73  118  0.66   5  3 93  1.62 3.02 3.52
2022-12-05 15:12:24.786269    12.75   32  0.40   3  2 96  1.62 3.02 3.52
2022-12-05 15:12:25.791129    15.38   13  0.19   3  2 96  1.62 3.02 3.52
2022-12-05 15:12:26.796925     5.12 1771  8.85   9  7 83  1.81 3.04 3.53
2022-12-05 15:12:27.802670     9.38   32  0.29   5  2 93  1.81 3.04 3.53
2022-12-05 15:12:28.803923    28.87  418 11.80   7 11 82  1.81 3.04 3.53
2022-12-05 15:12:29.808540     6.29   14  0.09   3  3 94  1.81 3.04 3.53
2022-12-05 15:12:30.813320    16.00    1  0.02   6  6 88  1.81 3.04 3.53
2022-12-05 15:12:31.816813    41.33  236  9.54   9  7 84  1.90 3.04 3.52
2022-12-05 15:12:32.825700    13.33    9  0.12   6  6 88  1.90 3.04 3.52
2022-12-05 15:12:33.828458     5.02  211  1.03   8  5 87  1.90 3.04 3.52
2022-12-05 15:12:34.833007               disk0       cpu    load average
2022-12-05 15:12:34.833458     KB/t  tps  MB/s  us sy id   1m   5m   15m
2022-12-05 15:12:34.833556     6.31   90  0.55   6  4 89  1.90 3.04 3.52
2022-12-05 15:12:35.836851     9.79   58  0.55   5 13 82  1.90 3.04 3.52
2022-12-05 15:12:36.841426    40.18  109  4.30   2 30 67  2.07 3.05 3.52
2022-12-05 15:12:37.853652    25.80   20  0.50   8 15 77  2.07 3.05 3.52
